Player_Code,Player Name,Position,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
84750, Shaffer,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
84786, Shipley,0,8,0,0,0,0,0,0,0,0,1,4,0,3,0,2
87293, Simmons,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84906, Simpson,0,24,0,0,0,0,0,0,0,0,0,0,0,77,3,1.5
84897, Singleton,0,41,0,0,0,0,0,0,0,0,0,0,0,108,6,0
86839, Skehan,0,39,0,0,0,0,0,0,0,0,0,0,0,128,11,0.5
87138, Sloan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84520, Smalls,0,1,0,0,0,0,0,0,0,0,2,21,0,0,0,0
87060, Smith,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87179, Smith,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
87393, Smith,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85050, Sparks,0,1,0,0,0,0,0,0,0,0,4,60,0,0,0,0
87260, Spaulding,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
86796, Speights,0,18,0,0,0,0,0,0,0,0,0,0,0,14,0,2.5
84519, Stewart,0,1,0,0,0,0,0,1,6,0,3,29,0,0,0,0
87027, Stewart,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87173, Sylvas,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84749, Taibi,0,10,0,0,0,0,0,0,0,0,0,0,0,37,0,0.5
86852, Taylor,0,8,0,0,0,0,0,0,0,0,0,0,0,17,1,0
87312, Terrell,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0
87154, Thomas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038140, Thomas,0,3,0,0,0,0,0,0,0,0,0,0,0,7,1,0
84755, Troxel,0,1,0,0,0,0,0,1,-2,0,1,5,0,0,0,0
86030, Tucker,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87316, Tuua,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86023, Tverdov,0,31,0,0,0,0,0,0,0,0,0,0,0,38,0,5.5
84960, Vance,0,19,0,0,0,0,0,0,0,0,0,0,0,28,0,3
1015051, Vanfossen,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015140, Velez,0,1,0,0,0,0,0,9,33,0,0,0,0,0,0,0
86946, Walker,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,3.5
84959, Ward,0,29,0,0,0,0,0,0,0,0,0,0,0,52,1,0
87128, Washing,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84543, Washington,0,1,0,0,0,0,0,0,0,0,1,41,0,0,0,0
84753, Washington,0,1,23,10,85,2,1,5,-6,0,0,0,0,0,0,0
84975, Washington,0,13,0,0,0,0,0,0,0,0,0,0,0,21,0,0
84917, White,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0
86029, White,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
86188, Wigal,0,2,0,0,0,0,0,1,3,0,3,29,0,0,0,0
86810, Wilder,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0,2.5
84541, Williams,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0
84857, Wize,0,1,0,0,0,0,0,4,16,0,1,50,0,0,0,0
85080, Woods,0,13,0,0,0,0,0,0,0,0,0,0,0,33,0,0
87274, Woods,0,35,0,0,0,0,0,0,0,0,0,0,0,114,1,6
1028915, Zaccario,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86055, Zatarain,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87417, Zimmerer,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1038071,A Andrews,0,41,1,1,37,0,0,618,3679,29,85,963,3,3,0,0
1022720,A Polanco,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029554,A Strose,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1029552,A Webb,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1036847,A Williams,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041274,A.C. Colquitt,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039461,A.C. Leonard,TE,7,0,0,0,0,0,0,0,0,8,99,0,1,0,0
1016258,A.J. Alexander,CB,6,0,0,0,0,0,3,12,0,2,15,0,1,1,0
1039630,A.J. Annelus,CB,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1032598,A.J. Antonescu,OL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030669,A.J. Augustine,QB,2,19,7,54,0,0,5,-2,0,0,0,0,0,0,0
1024889,A.J. Barker,WR,9,0,0,0,0,0,0,0,0,31,594,7,1,0,0
47199,A.J. Bennett,WR,10,0,0,0,0,0,6,-2,0,60,511,4,2,0,0
1025032,A.J. Blue,0,37,5,2,47,0,0,207,902,11,29,231,1,2,0,0
1023517,A.J. Bouye,DB,38,0,0,0,0,0,0,0,0,0,0,0,78,6,1
1057543,A.J. Branisel,TE,3,0,0,0,0,0,0,0,0,3,28,1,0,0,0
69990,A.J. Brooks,RB,11,0,0,0,0,0,44,144,1,5,59,0,1,0,0
71803,A.J. Brown,DB,27,0,0,0,0,0,0,0,0,0,0,0,68,6,0
73428,A.J. Bryant,WR,16,1,0,0,0,0,3,20,0,19,335,2,0,0,0
1017494,A.J. Butler,RB,34,0,0,0,0,0,50,177,1,32,213,0,52,0,0
1033790,A.J. Cann,OG,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1013491,A.J. Carter,DL,6,0,0,0,0,0,0,0,0,0,0,0,10,0,1
1053965,A.J. Clark,DB,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1060601,A.J. Coney,CB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44229,A.J. Davis,DB,20,0,0,0,0,0,0,0,0,0,0,0,39,2,1
1020542,A.J. Davis,CB,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1002675,A.J. DeGroot,OL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020942,A.J. DeLago,K,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032218,A.J. Derby,QB,8,42,22,208,1,1,6,2,0,0,0,0,1,0,0
1047877,A.J. Doyle,QB,19,332,183,1689,19,9,92,183,0,0,0,0,1,0,0
1024098,A.J. Dugat,WR,11,0,0,0,0,0,2,27,0,12,145,1,0,0,0
1001535,A.J. Edds,TE,41,0,0,0,0,0,0,0,0,0,0,0,76,7,2
1015736,A.J. Ellis,RB,13,0,0,0,0,0,80,289,3,13,88,2,1,0,0
1050528,A.J. Ellis,RB,2,0,0,0,0,0,15,84,1,0,0,0,0,0,0
1027176,A.J. Fenton,LB,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1033168,A.J. Ferguson,DE,19,0,0,0,0,0,0,0,0,0,0,0,13,0,3
1050876,A.J. Firestone,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038357,A.J. Fox,PK,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016953,A.J. Francis,DL,45,0,0,0,0,0,0,0,0,0,0,0,61,0,9
64917,A.J. Franklin,RB,2,0,0,0,0,0,13,85,0,4,41,0,0,0,0
1033362,"A.J. Grady, Jr.",LB,11,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1024586,A.J. Graham,QB,7,115,74,809,4,7,46,246,4,0,0,0,0,0,0
1058521,A.J. Gray,LB,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1008181,A.J. Greene,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022253,A.J. Gross,LB,4,0,0,0,0,0,0,0,0,0,0,0,13,0,1
1008532,A.J. Guyton,WR,44,1,1,36,0,1,8,37,0,123,1592,7,7,0,0
1044023,A.J. Hampton,LB,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
50017,A.J. Harris,RB,9,1,0,0,0,0,58,351,5,11,97,0,0,0,0
85077,A.J. Harris,WR,46,0,0,0,0,0,8,35,0,269,2561,16,2,0,0
1029626,A.J. Harris,RB,3,0,0,0,0,0,17,49,0,8,93,0,0,0,0
44286,A.J. Hawk,LB,12,0,0,0,0,0,0,0,0,0,0,0,69,1,9.5
1024973,A.J. Hawkins,OL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040109,A.J. Hendy,DB,19,0,0,0,0,0,0,0,0,0,0,0,43,2,0
1024725,A.J. Highsmith,QB,32,13,8,71,1,1,3,-3,0,0,0,0,36,2,1
1049578,A.J. Hilliard,LB,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1050179,A.J. Hughes,P,26,0,0,0,0,0,1,12,0,0,0,0,5,0,0
1000551,A.J. Jefferson,CB,35,0,0,0,0,0,0,0,0,0,0,0,69,0,0
1048188,A.J. Jefferson,DL,11,0,0,0,0,0,0,0,0,0,0,0,12,0,2
1016547,A.J. Jenkins,WR,46,0,0,0,0,0,6,25,0,167,2432,19,3,0,0
1012782,A.J. Jimerson,RB,3,0,0,0,0,0,6,15,0,4,25,0,0,0,0
1001992,A.J. Jimmerson,RB,31,0,0,0,0,0,61,215,2,15,77,2,0,0,0
1000936,A.J. Johnson,LB,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1016447,A.J. Johnson,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023404,A.J. Johnson,WR,18,0,0,0,0,0,1,7,0,28,395,1,2,0,0
1041674,A.J. Johnson,LB,36,0,0,0,0,0,12,21,6,0,0,0,160,0,1
1001121,A.J. Jones,LB,47,0,0,0,0,0,0,0,0,0,0,0,85,3,5
1039638,A.J. Jones,OL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042596,A.J. Jordan,WR,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1049302,A.J. Justice,DB,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1055224,A.J. Kaplan,OL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36062,A.J. Kincade,DB,10,0,0,0,0,0,0,0,0,0,0,0,27,0,0
1024255,A.J. Klein,LB,47,0,0,0,0,0,0,0,0,0,0,0,181,5,3
1047805,A.J. Leggett,DB,10,0,0,0,0,0,0,0,0,0,0,0,32,4,0
1047680,A.J. Legree,WR,15,0,0,0,0,0,0,0,0,19,210,0,7,0,0
1018748,A.J. Lindeman,OL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003315,A.J. Love,WR,33,0,0,0,0,0,3,27,0,73,1076,8,2,0,0
1026652,A.J. Mackey,DT,15,0,0,0,0,0,0,0,0,0,0,0,25,0,0
1034833,A.J. Marshall,CB,37,0,0,0,0,0,0,0,0,0,0,0,112,3,1
87204,A.J. Martinez,DB,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1022888,A.J. McCarron,QB,49,1026,686,9019,15,77,119,-50,3,0,0,0,2,0,0
1020231,A.J. McCray,DB,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1052813,A.J. McKoy,DB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022791,A.J. Millis,DB,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010888,A.J. Moosa,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001698,A.J. Nance,LB,23,0,0,0,0,0,4,22,0,0,0,0,14,0,0
61089,A.J. Nicholson,LB,12,0,0,0,0,0,0,0,0,0,0,0,53,2,1
1002841,A.J. Oxley,DL,17,0,0,0,0,0,0,0,0,0,0,0,19,0,1
1010336,A.J. Penson,LB,41,0,0,0,0,0,0,0,0,0,0,0,76,1,1.5
