Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Position,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
21,2006,Naufahu Tahi,FB,1.0,BYU,College Stats,73,254,4.85,29.0,35.0,101.0,7.72,4.7,0,8,undrafted,79656,RB,0,0,0,0,0,97,497,6,41,375,2,0,0,0.0
22,2006,Quinn Sypniewski,TE,2.0,Colorado,College Stats,78,268,4.77,32.5,20.0,114.0,7.09,4.52,Baltimore Ravens ,5,drafted,80128,TE,0,0,0,0,0,0,0,0,29,447,5,2,0,0.0
23,2006,Boone Stutz,LS,1.0,Texas A&M,College Stats,78,259,5.06,0.0,0.0,0.0,0.0,0.0,0,8,undrafted,69615,TE,0,0,0,0,0,0,-3,0,2,26,1,4,0,0.0
24,2006,Zach Strief,OT,62.0,Northwestern,College Stats,80,330,5.38,21.0,19.0,94.0,8.01,4.83,New Orleans Saints ,7,drafted,37422,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,2006,Maurice Stovall,WR,5.0,Notre Dame,College Stats,76,217,4.57,35.0,0.0,122.0,6.81,4.14,Tampa Bay Buccaneers ,3,drafted,50181,WR,0,0,0,0,0,2,1,0,69,1149,11,1,0,0.0
26,2006,Jason Spitz,OG,25.0,Louisville,College Stats,75,313,5.4,28.5,25.0,102.0,7.82,4.55,Green Bay Packers ,3,drafted,48891,OL,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
27,2006,Charles Spencer,OG,1.0,Pittsburgh,0,77,352,5.25,0.0,30.0,0.0,0.0,0.0,Houston Texans ,3,drafted,38024,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,2006,Isaac Sowells,OG,0.0,Indiana,0,75,324,5.15,28.5,20.0,101.0,8.13,4.98,Cleveland Browns ,4,drafted,34138,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,2006,Brad Smith,WR,20.0,Missouri,College Stats,74,213,4.46,39.5,0.0,128.0,7.0,4.33,New York Jets ,4,drafted,36041,QB,399,237,2304,9,13,229,1301,16,1,3,0,2,0,0.0
30,2006,Rob Sims,OG,56.0,Ohio State,0,75,307,5.25,0.0,27.0,0.0,0.0,0.0,Seattle Seahawks ,4,drafted,44308,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,2006,Mark Setterstrom,OG,5.0,Minnesota,0,76,314,5.38,26.5,19.0,100.0,7.63,4.53,St. Louis Rams ,7,drafted,49306,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,2006,Jonathan Scott,OT,20.0,Texas,College Stats,78,315,5.32,24.5,0.0,101.0,7.73,4.85,Detroit Lions ,5,drafted,40356,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,2006,Tony Scheffler,TE,28.0,Western Michigan,College Stats,77,254,4.54,33.5,17.0,115.0,6.81,4.01,Denver Broncos ,2,drafted,41814,TE,0,0,0,0,0,0,0,0,57,670,9,0,0,0.0
