Pos,Unnamed: 0,Year,Player,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Age,Team,All Pro,Pro Bowl,AV,Games,Pass Completions,Pass Attempts,Pass Yards,Pass TDs,Interceptions,Rush Attempts,Rush Yards,Rush TDs,Receptions,Receiving Yards,Receiving TDs,Tackles,Picks,Sacks
RB,371,2004,Michael Turner,70.0,237,4.49,31.0,22.0,114.0,7.5,4.15,San Diego Chargers ,5.0,154,22.0,SDG,1,2,54.0,134.0,0.0,0.0,0.0,0.0,0.0,1639.0,7338.0,66.0,70.0,528.0,1.0,12.0,0.0,0
RB,394,2004,Chris Perry,73.0,224,4.56,0.0,19.0,0.0,0.0,0.0,Cincinnati Bengals ,1.0,26,22.0,CIN,0,0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,177.0,606.0,2.0,83.0,474.0,2.0,2.0,0.0,0
RB,399,2004,Mewelde Moore,71.0,209,4.65,35.0,0.0,118.0,7.05,4.12,Minnesota Vikings ,4.0,119,22.0,MIN,0,0,29.0,122.0,2.0,4.0,21.0,2.0,0.0,507.0,2267.0,6.0,220.0,1952.0,8.0,12.0,0.0,0
RB,415,2004,Kevin Jones,73.0,227,4.38,38.0,0.0,120.0,0.0,0.0,Detroit Lions ,1.0,30,22.0,DET,0,0,27.0,64.0,0.0,0.0,0.0,0.0,0.0,795.0,3176.0,24.0,143.0,1011.0,3.0,9.0,0.0,0
RB,416,2004,Julius Jones,70.0,217,4.47,37.5,0.0,121.0,6.97,4.12,Dallas Cowboys ,2.0,43,23.0,DAL,0,0,38.0,94.0,0.0,0.0,0.0,0.0,0.0,1280.0,5068.0,22.0,150.0,1029.0,2.0,6.0,0.0,0
RB,417,2004,Greg Jones,73.0,249,4.55,0.0,0.0,0.0,0.0,0.0,Jacksonville Jaguars ,2.0,55,23.0,JAX,0,0,9.0,131.0,0.0,0.0,0.0,0.0,0.0,272.0,913.0,10.0,73.0,471.0,3.0,24.0,0.0,0
RB,420,2004,Steven Jackson,73.0,241,4.55,0.0,0.0,0.0,0.0,0.0,St. Louis Rams ,1.0,24,21.0,STL,0,3,74.0,160.0,1.0,1.0,2.0,1.0,0.0,2764.0,11438.0,69.0,461.0,3683.0,9.0,10.0,0.0,0
RB,429,2004,Troy Fleming,73.0,230,4.62,32.0,0.0,120.0,6.94,3.91,Tennessee Titans ,6.0,191,23.0,TEN,0,0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,0.0,29.0,233.0,3.0,15.0,0.0,0
RB,440,2004,Cedric Cobbs,73.0,223,4.75,40.0,0.0,123.0,0.0,0.0,New England Patriots ,4.0,128,23.0,NWE,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0
RB,448,2004,Tatum Bell,71.0,212,4.37,38.5,25.0,117.0,0.0,0.0,Denver Broncos ,2.0,41,23.0,DEN,0,0,22.0,54.0,0.0,0.0,0.0,0.0,0.0,569.0,2773.0,16.0,71.0,419.0,0.0,8.0,0.0,0
RB,457,2005,Cadillac Williams,71.0,217,4.43,35.5,19.0,118.0,6.94,4.15,Tampa Bay Buccaneers ,1.0,5,23.0,TAM,0,0,26.0,81.0,0.0,0.0,0.0,0.0,0.0,1055.0,4038.0,21.0,148.0,1002.0,4.0,6.0,0.0,0
RB,459,2005,Manuel White,74.0,244,4.64,0.0,0.0,0.0,0.0,0.0,Washington Redskins ,4.0,120,0.0,WAS,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,467,2005,Darren Sproles,66.0,187,4.47,33.0,23.0,105.0,6.96,3.96,San Diego Chargers ,4.0,130,22.0,SDG,0,2,58.0,163.0,0.0,0.0,0.0,0.0,0.0,640.0,3186.0,20.0,507.0,4460.0,29.0,6.0,0.0,0
RB,472,2005,Eric Shelton,73.0,246,4.53,38.5,0.0,124.0,7.44,4.08,Carolina Panthers ,2.0,54,22.0,CAR,0,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,1.0,6.0,0.0,1.0,0.0,0
RB,482,2005,Alvin Pearman,69.0,208,4.63,34.0,24.0,114.0,7.06,4.08,Jacksonville Jaguars ,4.0,127,23.0,JAX,0,0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,58.0,238.0,2.0,36.0,276.0,1.0,10.0,0.0,0
RB,492,2005,Vernand Morency,70.0,212,4.66,33.5,19.0,108.0,7.02,4.12,Houston Texans ,3.0,73,25.0,HOU,0,0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,171.0,726.0,4.0,57.0,404.0,0.0,8.0,0.0,0
RB,493,2005,Ryan Moats,68.0,210,4.46,36.0,19.0,117.0,7.22,4.1,Philadelphia Eagles ,3.0,77,22.0,PHI,0,0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,204.0,831.0,8.0,20.0,127.0,1.0,13.0,0.0,0
RB,505,2005,Brandon Jacobs,76.0,267,4.56,37.0,19.0,118.0,7.53,4.46,New York Giants ,4.0,110,23.0,NYG,0,0,36.0,109.0,0.0,0.0,0.0,0.0,0.0,1141.0,5094.0,60.0,82.0,743.0,4.0,21.0,0.0,0
RB,507,2005,Cedric Houston,71.0,225,4.61,0.0,0.0,0.0,0.0,0.0,New York Jets ,6.0,182,23.0,NYJ,0,0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,194.0,676.0,7.0,15.0,109.0,0.0,0.0,0.0,0
RB,508,2005,Noah Herron,71.0,224,4.6,31.0,17.0,108.0,6.95,3.97,Pittsburgh Steelers ,7.0,244,23.0,PIT,0,0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,85.0,273.0,3.0,29.0,211.0,2.0,11.0,0.0,0
RB,512,2005,Frank Gore,69.0,217,4.58,0.0,0.0,0.0,0.0,0.0,San Francisco 49ers ,3.0,65,22.0,SFO,0,5,81.0,175.0,0.0,0.0,0.0,0.0,0.0,2880.0,12710.0,74.0,405.0,3354.0,15.0,12.0,0.0,0
RB,515,2005,Lionel Gates,73.0,222,4.6,36.0,23.0,121.0,7.17,4.1,Buffalo Bills ,7.0,236,23.0,BUF,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,519,2005,Ciatrick Fason,73.0,207,4.58,0.0,0.0,0.0,0.0,0.0,Minnesota Vikings ,4.0,112,22.0,MIN,0,0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,50.0,161.0,5.0,3.0,19.0,0.0,4.0,0.0,0
RB,526,2005,DeAndra Cobb,70.0,196,4.49,34.0,17.0,118.0,7.13,4.25,Atlanta Falcons ,6.0,201,24.0,ATL,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,527,2005,Anthony Davis,67.0,200,4.5,38.0,18.0,121.0,7.39,0.0,Indianapolis Colts ,7.0,243,0.0,IND,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
